cntry,region,four_region,rw_order,paed_age_cutoff,inc_time_tmc,type,elpd,crps,mae,rmse,ppd_0.500,ppd_0.800,ppd_0.950,spec
BDI,ESA,Eastern,1,10,TRUE,MC coverage,300.61019342211057,207.2704618284236,0.34323271986118753,0.38888384345080185,0.33811230585424135,0.5400238948626045,0.6630824372759857,"rw_order = 1, paed_age_cutoff = 10, inc_time_tmc = TRUE"
BDI,ESA,Eastern,1,10,TRUE,MMC coverage,141.42951005244993,141.52000486063048,0.23084666582876917,0.26645403862491424,0.35722819593787336,0.5412186379928315,0.6714456391875747,"rw_order = 1, paed_age_cutoff = 10, inc_time_tmc = TRUE"
BDI,ESA,Eastern,1,10,TRUE,TMC coverage,159.1806833696606,97.453506906687693,0.20982563013859143,0.2791072839528017,0.6200716845878136,0.7909199522102748,0.8661887694145759,"rw_order = 1, paed_age_cutoff = 10, inc_time_tmc = TRUE"
BDI,ESA,Eastern,1,Inf,FALSE,MC coverage,291.67499483988547,69.47164859867038,0.1625949887930321,0.20805251839239425,0.5854241338112306,0.8327359617682198,0.965352449223417,"rw_order = 1, paed_age_cutoff = Inf, inc_time_tmc = FALSE"
BDI,ESA,Eastern,1,Inf,FALSE,MMC coverage,207.8757789314249,61.69965506123489,0.14960925686967988,0.19528451385320003,0.6176821983273596,0.8602150537634409,0.968936678614098,"rw_order = 1, paed_age_cutoff = Inf, inc_time_tmc = FALSE"
BDI,ESA,Eastern,1,Inf,FALSE,TMC coverage,83.7992159084606,31.28973337579957,0.07850062864992664,0.118143783674556,0.7598566308243727,0.909199522102748,0.970131421744325,"rw_order = 1, paed_age_cutoff = Inf, inc_time_tmc = FALSE"
BDI,ESA,Eastern,1,Inf,TRUE,MC coverage,296.74071463733014,205.58901493338223,0.3414198906156525,0.3872960305282792,0.3321385902031063,0.5400238948626045,0.6654719235364397,"rw_order = 1, paed_age_cutoff = Inf, inc_time_tmc = TRUE"
BDI,ESA,Eastern,1,Inf,TRUE,MMC coverage,140.52310391740986,141.862097545903,0.23104155414504132,0.2666099533695273,0.3632019115890084,0.5364396654719236,0.6726403823178017,"rw_order = 1, paed_age_cutoff = Inf, inc_time_tmc = TRUE"
BDI,ESA,Eastern,1,Inf,TRUE,TMC coverage,156.2176107199203,96.56077797859646,0.2076200568921862,0.27730155064899004,0.6200716845878136,0.7849462365591398,0.8626045400238949,"rw_order = 1, paed_age_cutoff = Inf, inc_time_tmc = TRUE"
BDI,ESA,Eastern,2,10,FALSE,MC coverage,291.5003695803919,69.23765725985389,0.16232099886095527,0.20774480174336313,0.5913978494623656,0.8375149342891278,0.9581839904420548,"rw_order = 2, paed_age_cutoff = 10, inc_time_tmc = FALSE"
BDI,ESA,Eastern,2,10,FALSE,MMC coverage,208.38114242767955,61.64997291618455,0.1495715083343284,0.19525963032508967,0.6308243727598566,0.8602150537634409,0.966547192353644,"rw_order = 2, paed_age_cutoff = 10, inc_time_tmc = FALSE"
