cntry,region,four_region,rw_order,paed_age_cutoff,inc_time_tmc,type,elpd,crps,mae,rmse,ppd_0.500,ppd_0.800,ppd_0.950
MWI,ESA,Southern,1,Inf,FALSE,MMC coverage,104.2867946677058,36.76200944600201,0.0515123023651666,0.07677730871095562,0.6899534264803726,0.8629407850964738,0.9560878243512974
MWI,ESA,Southern,1,Inf,FALSE,TMC coverage,273.6221253909715,87.94501491358776,0.09977788277094536,0.12620811944143015,0.5455755156353959,0.7578176979374585,0.8888888888888888
MWI,ESA,Southern,1,Inf,TRUE,MC coverage,382.26860236658854,102.70546508062084,0.11747301807249123,0.14646612329242523,0.5063206919494344,0.7465069860279441,0.8895542248835662
MWI,ESA,Southern,1,Inf,TRUE,MMC coverage,102.884160747081,36.41740737047558,0.05048750395264741,0.07536887123773847,0.6866267465069861,0.8642714570858283,0.9567531603459748
MWI,ESA,Southern,1,Inf,TRUE,TMC coverage,279.3844416195075,89.26392937295361,0.10123636119558913,0.1278684218838175,0.5409181636726547,0.7618097139055223,0.8968729208250167
MWI,ESA,Southern,2,10,FALSE,MC coverage,377.3783058383132,102.1150194092387,0.11644158505374944,0.14522420895677546,0.5029940119760479,0.7371922821024618,0.8888888888888888
MWI,ESA,Southern,2,10,FALSE,MMC coverage,104.86590767699262,37.6436290005592,0.05215773608628639,0.07740064319748798,0.6726546906187625,0.8589487691284099,0.9520958083832336
MWI,ESA,Southern,2,10,FALSE,TMC coverage,272.51239816132056,87.85527757179133,0.09974368218373716,0.1261875741698458,0.5469061876247505,0.7584830339321357,0.8908848968729208
MWI,ESA,Southern,2,10,TRUE,MC coverage,377.0196089321776,101.72900269241596,0.11602601551133716,0.14474411276134025,0.49434464404524286,0.7358616101131071,0.8908848968729208
MWI,ESA,Southern,2,10,TRUE,MMC coverage,103.50217473171362,37.42705947783705,0.05124774482661678,0.07590334478099596,0.6713240186294078,0.8576180971390552,0.953426480372588
MWI,ESA,Southern,2,10,TRUE,TMC coverage,273.5174342004639,87.7768648741023,0.09980637588203924,0.12636819661800328,0.5442448436460412,0.7618097139055223,0.89354624085163
MWI,ESA,Southern,2,Inf,FALSE,MC coverage,377.0062202378394,101.82799245018154,0.11633141810711148,0.1451805083442805,0.500998003992016,0.7371922821024618,0.8842315369261478
MWI,ESA,Southern,2,Inf,FALSE,MMC coverage,103.74155582952189,37.311320273048175,0.05169114653222621,0.07680499208747302,0.6753160345974717,0.8609447771124418,0.957418496340652
MWI,ESA,Southern,2,Inf,FALSE,TMC coverage,273.2646644083175,87.76766948851653,0.09970294163511324,0.12617299293981882,0.543579507651364,0.761144377910845,0.8908848968729208
MWI,ESA,Southern,2,Inf,TRUE,MC coverage,381.0538807361974,102.69023605908596,0.11724583858140374,0.1461990443367592,0.49966733200266134,0.7405189620758483,0.8928809048569527
MWI,ESA,Southern,2,Inf,TRUE,MMC coverage,101.5467115237545,36.71166404871053,0.05005847826225899,0.07436755732605936,0.6766467065868264,0.8569527611443779,0.9527611443779108
MWI,ESA,Southern,2,Inf,TRUE,TMC coverage,279.507169212443,89.40357918318311,0.10136051165547384,0.12799704661557038,0.543579507651364,0.7624750499001997,0.8995342648037259
NAM,ESA,Southern,0,10,FALSE,MC coverage,296.27448491130684,91.70611003396398,0.18544891838404784,0.23253041267584815,0.5254604550379198,0.781148429035753,0.9252437703141928
NAM,ESA,Southern,0,10,FALSE,MMC coverage,149.18013120562028,55.29630948541642,0.12628196301241487,0.17280110258598863,0.6706392199349945,0.8775731310942578,0.9664138678223184
NAM,ESA,Southern,0,10,FALSE,TMC coverage,147.0943537056866,55.27433573785005,0.11661674356271191,0.16033121565417477,0.6814734561213435,0.8819068255687974,0.960996749729144
NAM,ESA,Southern,0,10,TRUE,MC coverage,296.97968852146107,92.14836357332273,0.1858700356410154,0.2331036405249699,0.5200433369447454,0.7800650054171181,0.9263271939328276
NAM,ESA,Southern,0,10,TRUE,MMC coverage,149.17893419462314,56.04655495059021,0.12695406427060146,0.17358579016786058,0.6663055254604551,0.8786565547128927,0.9631635969664138
NAM,ESA,Southern,0,10,TRUE,TMC coverage,147.8007543268379,55.24248774634288,0.11664605543287504,0.16025928231549064,0.6879739978331527,0.8873239436619719,0.9653304442036836
NAM,ESA,Southern,0,Inf,FALSE,MC coverage,297.1906614317271,91.76624712103413,0.18583348768287591,0.23303160600705877,0.5297941495124594,0.781148429035753,0.9317443120260022
NAM,ESA,Southern,0,Inf,FALSE,MMC coverage,149.19321912871678,55.37303051361341,0.1264316040880117,0.17304182741200227,0.6803900325027086,0.8829902491874323,0.9642470205850489
NAM,ESA,Southern,0,Inf,FALSE,TMC coverage,147.99744230301036,55.60147104081547,0.11675679747685053,0.16029833258498338,0.6868905742145178,0.8797399783315276,0.9631635969664138
NAM,ESA,Southern,0,Inf,TRUE,MC coverage,295.5215594346913,93.11962490681566,0.18644887993433673,0.23358205570160143,0.49945828819068255,0.771397616468039,0.9219934994582882
NAM,ESA,Southern,0,Inf,TRUE,MMC coverage,146.43528897343563,56.742860542925776,0.12641035682472382,0.17259776198386517,0.6619718309859155,0.8689057421451788,0.9555796316359696
NAM,ESA,Southern,0,Inf,TRUE,TMC coverage,149.08627046125565,55.73358096336746,0.11720158645827591,0.16098038899680764,0.6803900325027086,0.8808234019501625,0.962080173347779
NAM,ESA,Southern,1,10,FALSE,MC coverage,296.95341859250624,91.00917688997096,0.1846752378492969,0.23191400773352036,0.5395449620801733,0.7865655471289275,0.933911159263272
NAM,ESA,Southern,1,10,FALSE,MMC coverage,150.29338461762654,54.77358807508278,0.12619645272917834,0.17319740786188,0.6836403033586133,0.894907908992416,0.972914409534128
NAM,ESA,Southern,1,10,FALSE,TMC coverage,146.6600339748797,55.42660315615112,0.1166529807138515,0.16024165749513375,0.685807150595883,0.8829902491874323,0.9685807150595884
NAM,ESA,Southern,1,10,TRUE,MC coverage,298.2923153374847,91.40158959910003,0.18533340738228216,0.2326459419956434,0.5265438786565547,0.7876489707475623,0.9317443120260022
